Name,First_Name,Party
Abdi,Sanae,SPD
Akbulut,Gökay,Die Linke
Abel,Valentin,FDP
Al-Dailami,Ali,Die Linke
Abraham,Knut,CDU/CSU
Al-Halak,Muhanad,FDP
Adler,Katja,FDP
Alabali-Radovan,Reem,SPD
Aeffner,Stephanie,Bündnis 90/Die Grünen
Albani,Stephan,CDU/CSU
Ahmetovic,Adis,SPD
Alt,Renata,FDP
Abdi,Sanae,SPD
Abel,Valentin,FDP
Abraham,Knut,CDU/CSU
Adler,Katja,FDP
Aeffner,Stephanie,Bündnis 90/Die Grünen
Ahmetovic,Adis,SPD
Akbulut,Gökay,Die Linke
Al-Dailami,Ali,Die Linke
Al-Halak,Muhanad,FDP
Alabali-Radovan,Reem,SPD
Albani,Stephan,CDU/CSU
Alt,Renata,FDP
Altenkamp,Norbert,CDU/CSU
Altmaier,Peter,CDU/CSU
Amthor,Philipp,CDU/CSU
Amtsberg,Luise,Bündnis 90/Die Grünen
Andres,Dagmar,SPD
Annen,Niels,SPD
Arlt,Johannes,SPD
Aschenberg-Dugnus,Christine,FDP
Audretsch,Andreas,Bündnis 90/Die Grünen
Auernhammer,Artur,CDU/CSU
Aumer,Peter,CDU/CSU
Außendorf,Maik,Bündnis 90/Die Grünen
Bacherle,Tobias,Bündnis 90/Die Grünen
Bachmann,Carolin,AfD
Badum,Lisa,Bündnis 90/Die Grünen
Baehrens,Heike,SPD
Bär,Dorothee,CDU/CSU
Bär,Karl,Bündnis 90/Die Grünen
Baerbock,Annalena,Bündnis 90/Die Grünen
Bahr,Ulrike,SPD
Baldy,Daniel,SPD
Banaszak,Felix,Bündnis 90/Die Grünen
Baradari,Nezahat,SPD
Bareiß,Thomas,CDU/CSU
Bartol,Sören,SPD
Bartsch,Dietmar,Die Linke
Bas,Bärbel,SPD
Bauer,Nicole,FDP
Baum,Christina,AfD
Baumann,Bernd,AfD
Bayram,Canan,Bündnis 90/Die Grünen
Beck,Katharina,Bündnis 90/Die Grünen
Beckamp,Roger,AfD
Becker,Holger,SPD
Beeck,Jens,FDP
Benner,Lukas,Bündnis 90/Die Grünen
Berghahn,Jürgen,SPD
Berghegger,André,CDU/CSU
Bergt,Bengt,SPD
Bernhard,Marc,AfD
Beyer,Peter,CDU/CSU
Biadacz,Marc,CDU/CSU
Bilger,Steffen,CDU/CSU
Birkwald,Matthias W.,Die Linke
Blankenburg,Jakob,SPD
Bleck,Andreas,AfD
Bochmann,René,AfD
Bodtke,Ingo,FDP
Boehringer,Peter,AfD
Boginski,Friedhelm,FDP
Bollmann,Gereon,AfD
Borchardt,Simone,CDU/CSU
Brand ,Michael,CDU/CSU
Brandenburg ,Jens,FDP
Brandenburg ,Mario,FDP
Brandes,Dirk,AfD
Brandl,Reinhard,CDU/CSU
Brandner,Stephan,AfD
Brantner,Franziska,Bündnis 90/Die Grünen
Braun,Helge,CDU/CSU
Braun,Jürgen,AfD
Breher,Silvia,CDU/CSU
Brehm,Sebastian,CDU/CSU
Brehmer,Heike,CDU/CSU
Breilmann,Michael,CDU/CSU
Breymaier,Leni,SPD
Brinkhaus,Ralph,CDU/CSU
Brodesser,Carsten,CDU/CSU
Bröhr,Marlon,CDU/CSU
Brugger,Agnieszka,Bündnis 90/Die Grünen
Bsirske,Frank,Bündnis 90/Die Grünen
Bubendorfer-Licht,Sandra,FDP
Budde,Katrin,SPD
Bühl,Marcus,AfD
Bury,Yannick,CDU/CSU
Buschmann,Marco,FDP
Busen,Karlheinz,FDP
Bystron,Petr,AfD
Cademartori Dujisin,Isabel,SPD
Castellucci,Lars,SPD
Christmann,Anna,Bündnis 90/Die Grünen
Chrupalla,Tino,AfD
Connemann,Gitta,CDU/CSU
Coße,Jürgen,SPD
Cotar,Joana,AfD
Cronenberg,Carl-Julius,FDP
Curio,Gottfried,AfD
Czaja,Mario,CDU/CSU
Dahmen,Janosch,Bündnis 90/Die Grünen
Daldrup,Bernhard,SPD
Damerow,Astrid,CDU/CSU
Dağdelen,Sevim,Die Linke
Deligöz,Ekin,Bündnis 90/Die Grünen
Demir,Hakan,SPD
Detzer,Sandra,Bündnis 90/Die Grünen
Diaby,Karamba,SPD
Diedenhofen,Martin,SPD
Dieren,Jan,SPD
Dietz,Thomas,AfD
Dilcher,Esther,SPD
Dittmar,Sabine,SPD
Djir-Sarai,Bijan,FDP
Dobrindt,Alexander,CDU/CSU
Döring,Felix,SPD
Domscheit-Berg,Anke,Die Linke
Donth,Michael,CDU/CSU
Dröge,Katharina,Bündnis 90/Die Grünen
Droßmann,Falko,SPD
Düring,Deborah,Bündnis 90/Die Grünen
Dürr,Christian,FDP
Durz,Hansjörg,CDU/CSU
Ebner,Harald,Bündnis 90/Die Grünen
Echeverria,Axel,SPD
Eckert,Leon,Bündnis 90/Die Grünen
Edelhäußer,Ralph,CDU/CSU
Ehrhorn,Thomas,AfD
Eichwede,Sonja,SPD
Emmerich,Marcel,Bündnis 90/Die Grünen
Engelhard,Alexander,CDU/CSU
Engelhardt,Heike,SPD
Englhardt-Kopf,Martina,CDU/CSU
Erndl,Thomas,CDU/CSU
Ernst,Klaus,Die Linke
Esdar,Wiebke,SPD
Esken,Saskia,SPD
Espendiller,Michael,AfD
Faber,Marcus,FDP
Färber,Hermann,CDU/CSU
Fäscher,Ariane,SPD
Fahimi,Yasmin,SPD
Farle,Robert,AfD
Fechner,Johannes,SPD
Feiler,Uwe,CDU/CSU
Felser,Peter,AfD
Ferlemann,Enak,CDU/CSU
Ferschl,Susanne,Die Linke
Fester,Emilia,Bündnis 90/Die Grünen
Fiedler,Sebastian,SPD
Föst,Daniel,FDP
Franke,Edgar,SPD
Frei,Thorsten,CDU/CSU
Fricke,Otto,FDP
Friedhoff,Dietmar,AfD
Friedrich ,Hans-Peter,CDU/CSU
Frieser,Michael,CDU/CSU
Frömming,Götz,AfD
Frohnmaier,Markus,AfD
Funke,Fabian,SPD
Funke-Kaiser,Maximilian,FDP
Gädechens,Ingo,CDU/CSU
Gambir,Schahina,Bündnis 90/Die Grünen
Ganserer,Tessa,Bündnis 90/Die Grünen
Gaßner-Herz,Martin,FDP
Gastel,Matthias,Bündnis 90/Die Grünen
Gauland,Alexander,AfD
Gava,Manuel,SPD
Gebhart,Thomas,CDU/CSU
Gehring,Kai,Bündnis 90/Die Grünen
Geissler,Jonas,CDU/CSU
Gelbhaar,Stefan,Bündnis 90/Die Grünen
Gerdes,Michael,SPD
Gerschau,Knut,FDP
Gerster,Martin,SPD
Gesenhues,Jan-Niclas,Bündnis 90/Die Grünen
Glaser,Albrecht,AfD
Glöckner,Angelika,SPD
Gnauck,Hannes,AfD
Göring-Eckardt,Katrin,Bündnis 90/Die Grünen
Görke,Christian,Die Linke
Gohlke,Nicole,Die Linke
Gottschalk,Kay,AfD
Gräßle,Ingeborg,CDU/CSU
Gramling,Fabian,CDU/CSU
Grau,Armin,Bündnis 90/Die Grünen
Gremmels,Timon,SPD
Griese,Kerstin,SPD
Gröhe,Hermann,CDU/CSU
Grötsch,Ulrich,SPD
Grosse-Brömer,Michael,CDU/CSU
Grübel,Markus,CDU/CSU
Grütters,Monika,CDU/CSU
Grützmacher,Sabine,Bündnis 90/Die Grünen
Grund,Manfred,CDU/CSU
Grundl,Erhard,Bündnis 90/Die Grünen
Grundmann,Oliver,CDU/CSU
Güler,Serap,CDU/CSU
Güntzler,Fritz,CDU/CSU
Gürpinar,Ates,Die Linke
Gutting,Olav,CDU/CSU
Gysi,Gregor,Die Linke
Haase,Christian,CDU/CSU
Habeck,Robert,Bündnis 90/Die Grünen
Hacker,Thomas,FDP
Hagedorn,Bettina,SPD
Hagl-Kehl,Rita,SPD
Hahn,André,Die Linke
Hahn,Florian,CDU/CSU
Hakverdi,Metin,SPD
Hanke,Reginald,FDP
Harder-Kühnel,Mariana Iris,AfD
Hartewig,Philipp,FDP
Hartmann,Sebastian,SPD
Harzer,Ulrike,FDP
Haßelmann,Britta,Bündnis 90/Die Grünen
Hauer,Matthias,CDU/CSU
Haug,Jochen,AfD
Heck,Stefan,CDU/CSU
Heidenblut,Dirk,SPD
Heidt,Peter,FDP
Heil ,Hubertus,SPD
